@relation 'anneal-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M100.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1,4-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute family=? numeric
@attribute family=TN numeric
@attribute family=ZS numeric
@attribute steel=? numeric
@attribute steel=R numeric
@attribute steel=A numeric
@attribute steel=K numeric
@attribute steel=M numeric
@attribute steel=S numeric
@attribute steel=W numeric
@attribute steel=V numeric
@attribute carbon numeric
@attribute hardness numeric
@attribute temper_rolling numeric
@attribute condition=? numeric
@attribute condition=S numeric
@attribute condition=A numeric
@attribute formability=? numeric
@attribute formability=1 numeric
@attribute formability=2 numeric
@attribute formability=3 numeric
@attribute formability=5 numeric
@attribute strength numeric
@attribute non-ageing numeric
@attribute surface-finish=? numeric
@attribute surface-finish=P numeric
@attribute surface-quality=? numeric
@attribute surface-quality=D numeric
@attribute surface-quality=E numeric
@attribute surface-quality=F numeric
@attribute surface-quality=G numeric
@attribute enamelability=? numeric
@attribute enamelability=1 numeric
@attribute enamelability=2 numeric
@attribute bc numeric
@attribute bf numeric
@attribute bt numeric
@attribute bw/me=? numeric
@attribute bw/me=B numeric
@attribute bw/me=M numeric
@attribute bl numeric
@attribute chrom numeric
@attribute phos numeric
@attribute cbond numeric
@attribute ferro numeric
@attribute blue/bright/varn/clean=? numeric
@attribute blue/bright/varn/clean=B numeric
@attribute blue/bright/varn/clean=C numeric
@attribute lustre numeric
@attribute shape numeric
@attribute thick numeric
@attribute width numeric
@attribute len numeric
@attribute oil=? numeric
@attribute oil=Y numeric
@attribute oil=N numeric
@attribute bore=0 numeric
@attribute bore=500 numeric
@attribute bore=600 numeric
@attribute packing=? numeric
@attribute packing=2 numeric
@attribute packing=3 numeric
@attribute class {1,2,3,4}

@data
1,0,0,0,0,1,0,0,0,0,0,0.114286,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.12234,0.4,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.787234,0.4,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.12234,0.852459,0.156148,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0.705882,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.681117,0.252525,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0.705882,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0.149202,0.167213,0.055123,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0.529412,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.361702,0.4,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.122074,0.4,1,0,1,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.81383,0.099672,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.122074,0.865574,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.202128,0.865574,0.156148,1,0,0,1,0,0,1,0,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.255319,0.4,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.015957,0.865574,1,0,1,0,1,0,0,1,0,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0.255319,0.4,0.030738,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0.529412,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.255319,0.399934,0,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.095745,0.8,0.155943,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.865574,0.156148,1,0,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0.142857,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7875,0.393443,0,1,0,0,1,0,0,1,0,0,4
